,GeneralRanking,Surname First name Club / Team,Cat.,Class.Cat.,Time,Difference/ 1st,Nationality
1445,1446,1507  - GALAMAND Eric EAA FOULEE ANNEMASSE,V2H,196,44:58:16,24:14:00,FR
1446,1447,1234  - MUNDUATE Javier EXPLORA TARIFA,V2H,197,44:58:19,24:14:03,ES
1447,1448,1960  - MCNEAL Steven,SEH,460,44:58:25,24:14:09,US
1448,1449,651  - WELCH Jenny JULBO,SEF,55,44:58:31,24:14:15,US
1449,1450,1902  - DELARUE Philippe,V3H,17,44:58:32,24:14:16,FR
1450,1451,2504  - SAILLARD Maxime,SEH,461,44:58:48,24:14:32,FR
1451,1452,1018  - IZUTANI Koji ACRO,V1H,650,44:58:58,24:14:42,JP
1452,1453,2764  - DEL PONTE Marco,SEH,462,44:59:11,24:14:55,IT
1453,1454,2616  - BEARD David THORNBURY RUNNING CLUB,V1H,651,44:59:24,24:15:08,GB
1454,1455,339  - SLEZIAK Maciej,SEH,463,44:59:30,24:15:14,PL
1455,1456,2062  - STROZZI Vladimiro MARATONABILI,V3H,18,44:59:44,24:15:28,IT
1456,1456,2324  - BRASSIER Julien LZ CAP NATURE,SEH,464,44:59:44,24:15:28,FR
1457,1458,2276  - PRIMAULT Sebastien,V1H,652,45:00:10,24:15:54,FR
1458,1459,1512  - KOVÁCS Edit,V1F,57,45:00:15,24:15:59,HU
1459,1460,2564  - JOHANSEN Per Laust COMPRESSPORTDK,V1H,653,45:00:36,24:16:20,DK
1460,1461,2417  - GULEC Ozgur STRIDERS OF CROYDON,V1H,654,45:00:37,24:16:21,TR
1461,1461,2671  - HANSEN Mads Holm TEAM COMPRESSPORT DK,SEH,465,45:00:37,24:16:21,DK
1462,1463,1236  - ZIRAH Alexis,SEH,466,45:00:41,24:16:25,FR
1463,1464,1136  - ROBINSON Bonita HERMITAGE HARRIERS,SEF,56,45:00:44,24:16:28,GB
1464,1465,1434  - HAMAGUCHI Yuka,SEF,57,45:01:09,24:16:53,JP
1465,1466,2218  - SPENCER David AISB,V3H,19,45:02:19,24:18:03,US
1466,1467,1481  - FERNANDEZ Joan Pere GEIEG,V1H,655,45:02:20,24:18:04,ES
1467,1468,2648  - MATRASZEK Maciej,SEH,467,45:02:32,24:18:16,PL
1468,1469,1850  - VERRY Fabrice,V1H,656,45:03:07,24:18:51,FR
1469,1470,1552  - VERRY Vincent,V1H,657,45:03:10,24:18:54,FR
1470,1471,1796  - VICTOR CASTAN Agustí KM 0 PONENT LLEIDA,V2H,198,45:03:18,24:19:02,ES
1471,1472,2267  - BOUYAT Arnaud,SEH,468,45:03:25,24:19:09,FR
1472,1473,404  - CARTELLA Sébastien RUN IN RAID,SEH,469,45:03:26,24:19:10,FR
1473,1474,1702  - GRAND Frédéric SG HERICOURT,V2H,199,45:03:36,24:19:20,FR
1474,1475,1790  - JAMET Alexandre,V1H,658,45:04:24,24:20:08,FR
1475,1476,2660  - SHIOZAWA Hideyuki TEAM ELK,V2H,200,45:04:32,24:20:16,JP
1476,1477,990  - MORENO ALAMO Francisco,V1H,659,45:04:49,24:20:33,ES
1477,1478,2160  - MOREL Benoit,SEH,470,45:05:01,24:20:45,FR
1478,1479,1313  - ARÉVALO ENCINAS Windy Erlin EQUIPO POWERADE BOLIVIA,SEH,471,45:05:06,24:20:50,BO
1479,1480,2432  - PRUD'HOMME Philippe,V1H,660,45:05:10,24:20:54,FR
1480,1481,2140  - BESORA CAUSADIAS Albert TRAMUNTANYA-UELL,V2H,201,45:05:52,24:21:36,ES
1481,1482,1310  - CARBONES ANDORRA David TRAMUNTANYA LLANCA,V1H,661,45:05:53,24:21:37,ES
1482,1483,1760  - TSUKIOKA Takashi,V1H,662,45:06:14,24:21:58,JP
1483,1484,1956  - SZABO Bela KANIZSAI FUTOKLUB,V2H,202,45:06:16,24:22:00,HU
1484,1485,1143  - SATO Kazuto,V1H,663,45:06:45,24:22:29,JP
1485,1486,1097  - PIAZZA Gianmarco ASD LEOPODISTICA,V1H,664,45:06:54,24:22:38,IT
1486,1487,1622  - PINCIONI Alessandro A.S.D. LEOPODISTICA,V1H,665,45:06:55,24:22:39,IT
